(-0.7, 1.8, 3.0)
(-0.7, 1.8, 3.1)
(-0.7, 1.8, 4.1)
(0.5, 1.8, 4.2)
(0.7, 1.8, 4.5)
(0.7, 1.8, 5.8)
(0.6, 1.8, 7.1)
(0.5, 1.8, 8.5)
4, 2
(0.0, 1.8, -1.2)
(0.0, 1.8, -1.0)
(0.0, 1.8, -1.0)
(0.0, 1.8, -1.0)
(0.0, 1.8, -1.0)
(0.0, 1.8, -1.0)
(0.0, 1.8, -1.0)
(0.0, 1.8, -1.0)
(0.0, 1.8, -1.0)
(0.0, 1.8, -1.0)
(-0.7, 1.8, -1.0)
(-0.7, 1.8, -1.0)
(-0.7, 1.8, -1.0)
(-0.7, 1.8, -0.1)
(-0.6, 1.8, 1.2)
(-0.6, 1.8, 1.3)
(-0.3, 1.8, 1.3)
(0.7, 1.8, 1.3)
(0.7, 1.8, 1.3)
(0.7, 1.8, 2.2)
(0.6, 1.8, 3.2)
(0.5, 1.8, 3.4)
(0.3, 1.8, 4.7)
(-0.1, 1.8, 4.7)
(-0.7, 1.8, 4.5)
(-0.7, 1.8, 5.6)
(-0.7, 1.8, 6.0)
(-0.7, 1.8, 6.0)
(-0.7, 1.8, 6.4)
(-0.7, 1.8, 7.8)
(-0.6, 1.8, 9.2)
4, 3
(0.0, 1.8, -1.0)
(0.0, 1.8, -1.0)
(0.0, 1.8, -1.0)
(0.0, 1.8, -1.0)
(0.0, 1.8, -1.0)
(0.0, 1.8, -1.0)
(0.0, 1.8, -1.0)
(0.0, 1.8, -1.0)
(0.0, 1.8, -1.0)
(0.0, 1.8, -1.0)
(0.0, 1.8, -1.0)
(0.0, 1.8, -1.0)
(0.0, 1.8, -1.0)
(0.0, 1.8, -1.0)
(0.0, 1.8, -1.0)
(0.0, 1.8, -1.0)
(0.4, 1.8, -0.9)
(0.7, 1.8, -0.7)
(0.7, 1.8, -0.4)
(0.7, 1.8, -0.2)
(0.7, 1.8, -0.2)
(0.7, 1.8, -0.2)
(0.7, 1.8, -0.2)
(0.2, 1.8, -0.4)
(-0.7, 1.8, -0.9)
(-0.7, 1.8, -1.2)
(-0.2, 1.8, -1.1)
(0.7, 1.8, -1.0)
(-0.2, 1.8, -1.1)
(-0.7, 1.8, -0.2)
(-0.7, 1.8, 1.2)
(-0.6, 1.8, 1.9)
(0.7, 1.8, 2.1)
(0.7, 1.8, 2.6)
(0.5, 1.8, 4.0)
(0.5, 1.8, 4.6)
(0.7, 1.8, 4.7)
(0.7, 1.8, 5.4)
(0.5, 1.8, 6.8)
(0.0, 1.8, 7.5)
(-0.7, 1.8, 7.4)
(-0.7, 1.8, 7.3)
(0.1, 1.8, 7.4)
(0.7, 1.8, 7.5)
(0.6, 1.8, 8.2)
(0.5, 1.8, 9.0)
(-0.8, 1.8, 8.9)
(-1.0, 1.8, 9.2)
4, 4
(-0.1, 1.8, -0.4)
(-0.2, 1.8, 0.2)
(-0.2, 1.8, 0.2)
(-0.2, 1.8, 0.2)
(-0.3, 1.8, 0.2)
(-0.7, 1.8, 0.1)
(-0.7, 1.8, 1.3)
(-0.7, 1.8, 2.6)
(0.1, 1.8, 3.1)
(0.7, 1.8, 3.4)
(0.6, 1.8, 4.0)
(0.2, 1.8, 4.8)
(-0.7, 1.8, 4.4)
(-0.7, 1.8, 4.5)
(-0.7, 1.8, 5.8)
(-0.2, 1.8, 6.2)
(0.7, 1.8, 6.5)
(0.5, 1.8, 7.4)
(0.1, 1.8, 8.7)
4, 5
(-0.2, 1.8, -0.9)
(-0.3, 1.8, -0.5)
(-0.3, 1.8, -0.5)
(-0.3, 1.8, -0.5)
(-0.3, 1.8, -0.5)
(-0.3, 1.8, -0.5)
(-0.3, 1.8, -0.5)
(-0.3, 1.8, -0.5)
(-0.3, 1.8, -0.5)
(-0.3, 1.8, -0.5)
(-0.3, 1.8, -0.5)
(-0.3, 1.8, -0.5)
(-0.3, 1.8, -0.5)
(-0.3, 1.8, -0.5)
(-0.3, 1.8, -0.5)
(-0.3, 1.8, -0.5)
(-0.3, 1.8, -0.5)
(-0.3, 1.8, -0.5)
(-0.3, 1.8, -0.5)
(-0.3, 1.8, -0.5)
(-0.3, 1.8, -0.5)
(-0.3, 1.8, -0.5)
(-0.3, 1.8, -0.5)
(-0.4, 1.8, 0.1)
(-0.5, 1.8, 1.3)
(0.7, 1.8, 1.5)
(0.7, 1.8, 2.0)
(0.5, 1.8, 3.3)
(-0.3, 1.8, 3.3)
(-0.7, 1.8, 3.3)
(-0.7, 1.8, 4.6)
(-0.4, 1.8, 5.6)
(0.7, 1.8, 5.8)
(0.6, 1.8, 6.8)
(0.3, 1.8, 8.2)
4, 6
(0.0, 1.8, -1.4)
(0.0, 1.8, -1.4)
(0.0, 1.8, -1.4)
(0.0, 1.8, -1.4)
(0.0, 1.8, -1.4)
(0.0, 1.8, -1.4)
(0.0, 1.8, -1.4)
(-0.2, 1.8, -0.8)
(-0.7, 1.8, -0.2)
(-0.7, 1.8, -0.6)
(-0.7, 1.8, -0.1)
(-0.6, 1.8, 0.9)
(-0.4, 1.8, 2.1)
(0.7, 1.8, 2.0)
(0.7, 1.8, 1.9)
(0.7, 1.8, 2.9)
(0.6, 1.8, 4.1)
(0.6, 1.8, 4.3)
(0.6, 1.8, 4.3)
(0.5, 1.8, 5.2)
(0.2, 1.8, 6.5)
(0.1, 1.8, 6.8)
(-0.2, 1.8, 6.7)
(0.3, 1.8, 6.8)
(-0.7, 1.8, 6.6)
(-0.7, 1.8, 7.5)
(-0.8, 1.8, 8.8)
5, 1
(-0.1, 1.8, -0.7)
(-0.2, 1.8, -0.4)
(-0.2, 1.8, -0.4)
(-0.2, 1.8, -0.4)
(-0.2, 1.8, -0.4)
(-0.2, 1.8, -0.4)
(-0.2, 1.8, -0.4)
(-0.2, 1.8, -0.4)
(-0.2, 1.8, -0.4)
(-0.2, 1.8, -0.4)
(-0.2, 1.8, -0.4)
(-0.7, 1.8, -0.5)
(-0.4, 1.8, -0.6)
(0.7, 1.8, -0.2)
(0.7, 1.8, 0.2)
(0.4, 1.8, 1.2)
(-0.2, 1.8, 2.0)
(-0.7, 1.8, 1.5)
(-0.7, 1.8, 1.7)
(-0.7, 1.8, 2.9)
(-0.4, 1.8, 3.5)
(0.1, 1.8, 3.8)
(0.7, 1.8, 4.4)
(0.2, 1.8, 5.4)
(-0.6, 1.8, 6.5)
(-0.7, 1.8, 7.4)
(-0.7, 1.8, 6.8)
(-0.7, 1.8, 7.5)
(-0.7, 1.8, 8.5)
5, 2
(-0.2, 1.8, -1.3)
(-0.4, 1.8, -1.0)
(-0.4, 1.8, -1.0)
(-0.4, 1.8, -1.0)
(-0.4, 1.8, -1.0)
(-0.4, 1.8, -1.0)
(-0.4, 1.8, -1.0)
(-0.4, 1.8, -1.0)
(-0.4, 1.8, -1.0)
(-0.4, 1.8, -1.0)
(0.4, 1.8, -1.0)
(0.7, 1.8, -0.9)
(0.5, 1.8, 0.1)
(0.1, 1.8, 1.4)
(-0.3, 1.8, 2.7)
(-0.6, 1.8, 3.6)
(-0.6, 1.8, 3.6)
(-0.6, 1.8, 3.6)
(-0.6, 1.8, 3.6)
(-0.6, 1.8, 3.6)
(-0.7, 1.8, 3.8)
(-0.7, 1.8, 4.6)
(-0.7, 1.8, 4.0)
(-0.7, 1.8, 4.1)
(-0.7, 1.8, 4.4)
(-0.7, 1.8, 5.7)
(-0.7, 1.8, 6.8)
(-0.7, 1.8, 7.1)
(-0.7, 1.8, 7.4)
(0.5, 1.8, 7.6)
(0.0, 1.8, 7.6)
(-0.7, 1.8, 7.2)
(-0.7, 1.8, 7.7)
(-0.8, 1.8, 9.0)
5, 3
(-0.3, 1.8, -0.5)
(-0.4, 1.8, -0.1)
(-0.4, 1.8, -0.1)
(-0.4, 1.8, -0.1)
(-0.4, 1.8, -0.1)
(-0.4, 1.8, -0.1)
(-0.4, 1.8, -0.1)
(-0.4, 1.8, -0.1)
(-0.4, 1.8, -0.1)
(-0.4, 1.8, -0.1)
(-0.4, 1.8, -0.1)
(-0.2, 1.8, 0.4)
(-0.2, 1.8, 0.4)
(0.3, 1.8, 1.2)
(0.7, 1.8, 2.4)
(0.4, 1.8, 3.1)
(-0.7, 1.8, 3.5)
(-0.5, 1.8, 4.7)
(0.6, 1.8, 4.6)
(0.7, 1.8, 5.3)
(0.7, 1.8, 6.6)
(0.7, 1.8, 8.0)
(0.7, 1.8, 9.3)
5, 4
(0.1, 1.8, -0.7)
(0.1, 1.8, -0.7)
(0.1, 1.8, -0.7)
(-0.1, 1.8, -0.7)
(-0.7, 1.8, -0.5)
(-0.7, 1.8, -0.4)
(-0.6, 1.8, 0.4)
(-0.4, 1.8, 1.7)
(-0.2, 1.8, 1.8)
(0.7, 1.8, 1.6)
(0.7, 1.8, 1.6)
(0.7, 1.8, 2.8)
(0.7, 1.8, 4.0)
(0.7, 1.8, 4.0)
(0.7, 1.8, 4.0)
(-0.1, 1.8, 4.0)
(-0.7, 1.8, 4.1)
(0.3, 1.8, 4.0)
(0.7, 1.8, 4.5)
(0.7, 1.8, 5.9)
(0.1, 1.8, 6.3)
(-0.5, 1.8, 6.6)
(-0.3, 1.8, 7.8)
(-0.1, 1.8, 9.2)
5, 5
(0.1, 1.8, -0.6)
(0.1, 1.8, -0.6)
(0.1, 1.8, -0.6)
(0.1, 1.8, -0.6)
(0.1, 1.8, -0.6)
(0.1, 1.8, -0.6)
(0.1, 1.8, -0.6)
(0.1, 1.8, -0.6)
(0.1, 1.8, -0.6)
(0.1, 1.8, -0.6)
(0.1, 1.8, -0.6)
(0.1, 1.8, -0.6)
(0.1, 1.8, -0.6)
(0.1, 1.8, -0.6)
(-0.1, 1.8, -0.9)
(-0.7, 1.8, -1.9)
(-0.3, 1.8, -2.0)
(-0.1, 1.8, -2.0)
(-0.5, 1.8, -2.0)
(-0.6, 1.8, -2.0)
(-0.7, 1.8, -1.3)
(-0.5, 1.8, -1.3)
(0.3, 1.8, -1.8)
(-0.7, 1.8, -1.2)
(-0.7, 1.8, -1.6)
(-0.7, 1.8, -2.0)
(-0.4, 1.8, -2.0)
(-0.7, 1.8, -2.0)
(-0.7, 1.8, -1.8)
(-0.7, 1.8, -1.6)
(-0.7, 1.8, -0.8)
(-0.7, 1.8, -1.6)
(-0.7, 1.8, -2.0)
(-0.7, 1.8, -2.0)
(-0.7, 1.8, -2.0)
(-0.7, 1.8, -2.0)
(-0.7, 1.8, -2.0)
(-0.7, 1.8, -2.0)
(-0.7, 1.8, -2.0)
(-0.7, 1.8, -2.0)
(-0.7, 1.8, -2.0)
(-0.7, 1.8, -2.0)
(-0.7, 1.8, -2.0)
(-0.7, 1.8, -2.0)
(-0.7, 1.8, -2.0)
(-0.7, 1.8, -2.0)
(-0.7, 1.8, -2.0)
(-0.7, 1.8, -2.0)
(-0.7, 1.8, -2.0)
(-0.1, 1.8, -2.0)
(0.0, 1.8, -2.0)
(-0.7, 1.8, -2.0)
(-0.7, 1.8, -2.0)
(-0.7, 1.8, -2.0)
(-0.7, 1.8, -1.7)
(-0.7, 1.8, -0.6)
(-0.7, 1.8, -1.4)
(-0.6, 1.8, -2.0)
(-0.5, 1.8, -2.0)
(-0.5, 1.8, -2.0)
(-0.3, 1.8, -2.0)
(0.7, 1.8, -2.0)
(0.7, 1.8, -2.0)
(0.7, 1.8, -2.0)
(0.7, 1.8, -2.0)
(0.7, 1.8, -2.0)
(0.7, 1.8, -2.0)
(0.7, 1.8, -2.0)
(0.7, 1.8, -2.0)
(0.7, 1.8, -2.0)
(0.4, 1.8, -2.0)
(-0.5, 1.8, -2.0)
(-0.7, 1.8, -2.0)
(-0.7, 1.8, -2.0)
(-0.7, 1.8, -2.0)
(-0.7, 1.8, -2.0)
(-0.7, 1.8, -2.0)
(-0.7, 1.8, -2.0)
(-0.7, 1.8, -2.0)
(-0.7, 1.8, -2.0)
(-0.7, 1.8, -2.0)
(-0.7, 1.8, -1.7)
(-0.7, 1.8, -0.5)
(-0.7, 1.8, 0.9)
(-0.6, 1.8, 2.2)
(-0.5, 1.8, 3.6)
(-0.4, 1.8, 5.0)
(-0.2, 1.8, 6.3)
(-0.1, 1.8, 7.7)
(0.0, 1.8, 9.1)
5, 6
(0.1, 1.8, -0.5)
(0.2, 1.8, 0.8)
(0.2, 1.8, 1.0)
(0.2, 1.8, 1.0)
(0.2, 1.8, 1.0)
(0.2, 1.8, 1.3)
(0.3, 1.8, 2.7)
(0.4, 1.8, 4.0)
(0.5, 1.8, 5.4)
(0.6, 1.8, 6.5)
(0.3, 1.8, 6.6)
(-0.7, 1.8, 7.0)
(-0.7, 1.8, 8.3)
(-0.3, 1.8, 9.3)
6, 1
(0.2, 1.8, -1.0)
(0.2, 1.8, 0.3)
(0.2, 1.8, 0.5)
(0.2, 1.8, 0.5)
(0.2, 1.8, 0.5)
(0.2, 1.8, 0.5)
(0.1, 1.8, 0.5)
(-0.7, 1.8, 0.9)
(-0.6, 1.8, 2.2)
(-0.4, 1.8, 3.5)
(0.4, 1.8, 3.7)
(0.7, 1.8, 4.0)
(0.7, 1.8, 5.4)
(0.7, 1.8, 6.5)
(-0.6, 1.8, 6.6)
(-0.6, 1.8, 6.7)
(-0.5, 1.8, 6.8)
(-0.3, 1.8, 7.9)
(-0.1, 1.8, 9.3)
6, 2
(0.1, 1.8, -0.7)
(0.1, 1.8, -0.7)
(0.1, 1.8, -0.7)
(0.1, 1.8, -0.7)
(0.1, 1.8, -0.7)
(0.1, 1.8, -0.7)
(0.1, 1.8, -0.7)
(0.1, 1.8, -0.7)
(0.1, 1.8, -0.7)
(0.1, 1.8, -0.6)
(-0.2, 1.8, 0.2)
(-0.7, 1.8, 0.9)
(-0.7, 1.8, 2.2)
(-0.2, 1.8, 3.0)
(0.7, 1.8, 3.3)
(0.6, 1.8, 4.5)
(0.3, 1.8, 5.8)
(-0.3, 1.8, 5.8)
(-0.7, 1.8, 5.7)
(-0.7, 1.8, 6.8)
(-0.7, 1.8, 8.1)
(-0.9, 1.8, 9.3)
6, 3
(-0.2, 1.8, -0.3)
(-0.3, 1.8, 0.1)
(0.5, 1.8, 0.2)
(0.7, 1.8, 1.0)
(0.4, 1.8, 2.3)
(0.0, 1.8, 2.8)
(-0.7, 1.8, 2.8)
(-0.7, 1.8, 4.1)
(-0.5, 1.8, 4.9)
(0.7, 1.8, 5.2)
(0.7, 1.8, 5.4)
(0.7, 1.8, 5.4)
(0.7, 1.8, 5.4)
(0.1, 1.8, 6.2)
(-0.6, 1.8, 6.9)
(-0.6, 1.8, 6.9)
(-0.6, 1.8, 6.9)
(-0.6, 1.8, 7.0)
(-0.7, 1.8, 8.1)
(-1.0, 1.8, 9.4)
6, 4
(-0.5, 1.8, -0.3)
(-0.5, 1.8, -0.2)
(-0.5, 1.8, -0.2)
(-0.5, 1.8, -0.2)
(-0.5, 1.8, -0.2)
(-0.7, 1.8, -0.2)
(-0.5, 1.8, -0.1)
(0.7, 1.8, -0.2)
(0.7, 1.8, -0.1)
(0.7, 1.8, 1.3)
(0.7, 1.8, 2.3)
(0.0, 1.8, 2.4)
(-0.5, 1.8, 3.1)
(-0.4, 1.8, 4.5)
(-0.1, 1.8, 5.2)
(0.7, 1.8, 5.1)
(0.7, 1.8, 6.0)
(0.7, 1.8, 7.3)
(0.7, 1.8, 8.7)
6, 5
(0.0, 1.8, -1.1)
(0.0, 1.8, -1.1)
(0.0, 1.8, -1.1)
(0.0, 1.8, -1.1)
(0.0, 1.8, -1.1)
(0.0, 1.8, -1.1)
(0.0, 1.8, -1.1)
(0.0, 1.8, -1.1)
(0.0, 1.8, -1.1)
(0.0, 1.8, -1.1)
(0.0, 1.8, -1.1)
(0.0, 1.8, -1.1)
(0.0, 1.8, -1.1)
(0.0, 1.8, -1.1)
(0.0, 1.8, -1.1)
(0.0, 1.8, -1.1)
(0.0, 1.8, -1.1)
(0.0, 1.8, -1.1)
(0.0, 1.8, -1.1)
(0.1, 1.8, -1.1)
(0.3, 1.8, -1.8)
(-0.7, 1.8, -2.0)
(-0.7, 1.8, -2.0)
(-0.7, 1.8, -2.0)
(-0.7, 1.8, -2.0)
(-0.7, 1.8, -1.4)
(-0.6, 1.8, -1.8)
(-0.7, 1.8, -2.0)
(-0.7, 1.8, -2.0)
(-0.7, 1.8, -1.9)
(-0.6, 1.8, -0.7)
(0.1, 1.8, 0.5)
(0.4, 1.8, 1.8)
(0.7, 1.8, 3.0)
(0.7, 1.8, 4.1)
(0.7, 1.8, 5.2)
(0.0, 1.8, 5.9)
(0.0, 1.8, 5.9)
(0.7, 1.8, 5.2)
(0.7, 1.8, 6.0)
(0.7, 1.8, 7.0)
(0.7, 1.8, 7.7)
(0.7, 1.8, 8.0)
(0.7, 1.8, 8.0)
(0.7, 1.8, 8.0)
(0.7, 1.8, 8.0)
(0.7, 1.8, 8.0)
(0.7, 1.8, 8.0)
(0.7, 1.8, 8.0)
(0.7, 1.8, 8.0)
(0.7, 1.8, 8.0)
(0.7, 1.8, 8.0)
(0.7, 1.8, 8.0)
(0.7, 1.8, 8.0)
(0.7, 1.8, 8.3)
6, 6
(0.0, 1.6, -1.3)
(0.2, 1.8, 0.0)
(0.3, 1.8, 0.2)
(0.3, 1.8, 0.2)
(0.3, 1.8, 0.2)
(0.3, 1.8, 0.2)
(0.3, 1.8, 0.2)
(0.3, 1.8, 0.2)
(0.3, 1.8, 0.2)
(0.3, 1.8, 0.2)
(0.3, 1.8, 0.2)
(0.3, 1.8, 0.2)
(0.1, 1.8, 0.7)
(-0.4, 1.8, 1.9)
(-0.5, 1.8, 2.1)
(-0.5, 1.8, 2.1)
(-0.7, 1.8, 1.8)
(-0.7, 1.8, 1.6)
(-0.7, 1.8, 2.6)
(0.0, 1.8, 3.2)
(0.5, 1.8, 3.7)
(-0.1, 1.8, 4.3)
(-0.7, 1.8, 3.9)
(-0.7, 1.8, 4.8)
(-0.7, 1.8, 6.1)
(-0.7, 1.8, 7.4)
(-0.7, 1.8, 8.6)
(-0.8, 1.8, 8.9)
(0.3, 1.8, 9.3)
7, 1
(-0.3, 1.8, -0.4)
(-0.5, 1.8, 0.1)
(-0.5, 1.8, 0.1)
(-0.5, 1.8, 0.1)
(-0.6, 1.8, 0.1)
(-0.7, 1.8, 0.5)
(-0.5, 1.8, 1.7)
(-0.3, 1.8, 3.1)
(-0.2, 1.8, 4.4)
(0.0, 1.8, 5.6)
(0.0, 1.8, 5.6)
(0.7, 1.8, 5.6)
(0.7, 1.8, 6.7)
(0.7, 1.8, 8.1)
(0.7, 1.8, 9.4)
7, 2
(0.1, 1.8, -0.7)
(0.1, 1.8, -0.4)
(0.8, 1.8, -0.4)
(0.7, 1.8, 0.0)
(0.7, 1.8, 1.4)
(0.7, 1.8, 2.7)
(0.7, 1.8, 3.4)
(-0.4, 1.8, 3.4)
(-0.7, 1.8, 4.4)
(-0.7, 1.8, 5.0)
(-0.7, 1.8, 5.0)
(-0.7, 1.8, 5.0)
(-0.7, 1.8, 5.6)
(-0.7, 1.8, 7.0)
(0.0, 1.8, 7.6)
(0.7, 1.8, 8.5)
7, 3
(0.0, 1.8, -1.2)
(-0.1, 1.8, 0.1)
(-0.1, 1.8, 0.3)
(-0.1, 1.8, 0.3)
(-0.1, 1.8, 0.3)
(-0.1, 1.8, 0.4)
(-0.4, 1.8, 1.5)
(-0.7, 1.8, 2.8)
(-0.7, 1.8, 2.7)
(-0.7, 1.8, 2.6)
(-0.7, 1.8, 3.0)
(-0.6, 1.8, 4.4)
(-0.5, 1.8, 5.7)
(-0.4, 1.8, 5.8)
(0.7, 1.8, 5.9)
(0.7, 1.8, 6.8)
(0.6, 1.8, 8.2)
7, 4
(0.0, 1.2, -1.4)
(-0.1, 1.8, -1.1)
(-0.2, 1.8, 0.0)
(-0.2, 1.8, 0.0)
(-0.2, 1.8, 0.0)
(-0.2, 1.8, 0.0)
(-0.4, 1.8, 0.0)
(-0.7, 1.8, 0.2)
(-0.7, 1.8, 1.5)
(-0.6, 1.8, 2.2)
(-0.6, 1.8, 2.2)
(-0.6, 1.8, 2.2)
(-0.6, 1.8, 2.2)
(-0.6, 1.8, 2.3)
(-0.6, 1.8, 3.6)
(-0.1, 1.8, 3.8)
(0.7, 1.8, 3.8)
(0.7, 1.8, 4.9)
(0.7, 1.8, 6.2)
(0.7, 1.8, 6.3)
(0.5, 1.8, 6.3)
(0.5, 1.8, 6.3)
(0.7, 1.8, 7.2)
(0.7, 1.8, 8.5)
7, 5
(0.0, 1.8, -1.1)
(0.0, 1.8, -0.2)
(0.0, 1.8, -0.2)
(0.7, 1.8, -0.2)
(0.1, 1.8, -0.2)
(-0.7, 1.8, -0.2)
(0.5, 1.8, -0.1)
(0.6, 1.8, 1.0)
(0.3, 1.8, 1.9)
(-0.6, 1.8, 2.3)
(-0.7, 1.8, 3.6)
(-0.1, 1.8, 4.4)
(0.7, 1.8, 4.7)
(0.7, 1.8, 6.1)
(0.6, 1.8, 7.4)
(0.5, 1.8, 8.7)
7, 6
(0.0, 1.8, -0.6)
(0.0, 1.8, 0.8)
(-0.1, 1.8, 1.0)
(-0.1, 1.8, 1.0)
(-0.1, 1.8, 1.0)
(-0.1, 1.8, 1.0)
(-0.1, 1.8, 1.0)
(-0.1, 1.8, 1.0)
(-0.1, 1.8, 1.0)
(-0.1, 1.8, 1.0)
(-0.1, 1.8, 1.0)
(-0.1, 1.8, 1.0)
(-0.1, 1.8, 1.0)
(-0.1, 1.8, 1.0)
(-0.1, 1.8, 1.0)
(-0.1, 1.8, 1.0)
(-0.1, 1.8, 1.0)
(-0.1, 1.8, 1.0)
(-0.1, 1.8, 1.0)
(-0.1, 1.8, 1.0)
(-0.1, 1.8, 1.0)
(-0.1, 1.8, 2.0)
(-0.1, 1.8, 3.3)
(-0.7, 1.8, 3.8)
(-0.7, 1.8, 4.8)
(-0.7, 1.8, 6.1)
(-0.3, 1.8, 7.1)
(0.7, 1.8, 7.1)
(0.7, 1.8, 8.3)
8, 1
(0.0, 1.6, -1.3)
(-0.1, 1.8, -0.6)
(-0.1, 1.8, -0.6)
(-0.1, 1.8, -0.6)
(-0.7, 1.8, -0.7)
(-0.7, 1.8, -0.2)
(-0.7, 1.8, 1.2)
(-0.7, 1.8, 2.4)
(-0.7, 1.8, 2.5)
(0.2, 1.8, 2.6)
(0.7, 1.8, 2.8)
(0.6, 1.8, 3.4)
(0.3, 1.8, 4.6)
(0.0, 1.8, 5.7)
(-0.6, 1.8, 5.7)
(-0.7, 1.8, 7.0)
(-0.7, 1.8, 8.3)
8, 2
(-0.1, 1.6, -1.3)
(-0.4, 1.8, -0.1)
(-0.4, 1.8, 0.0)
(-0.4, 1.8, 0.0)
(-0.4, 1.8, 0.0)
(-0.4, 1.8, 0.0)
(-0.4, 1.8, 0.0)
(-0.5, 1.8, 0.7)
(-0.7, 1.8, 1.5)
(-0.7, 1.8, 2.8)
(-0.7, 1.8, 4.2)
(-0.5, 1.8, 5.1)
(0.7, 1.8, 5.3)
(0.6, 1.8, 6.5)
(0.3, 1.8, 7.3)
(-0.7, 1.8, 7.4)
(-0.8, 1.8, 8.8)
8, 3
(-0.1, 1.8, -0.8)
(-0.2, 1.8, -0.1)
(-0.2, 1.8, -0.1)
(-0.2, 1.8, -0.1)
(-0.2, 1.8, -0.1)
(-0.3, 1.8, 0.6)
(-0.5, 1.8, 1.7)
(-0.7, 1.8, 1.7)
(-0.7, 1.8, 2.4)
(-0.7, 1.8, 3.7)
(-0.7, 1.8, 4.8)
(0.5, 1.8, 4.9)
(0.7, 1.8, 5.7)
(0.6, 1.8, 7.0)
(0.5, 1.8, 8.1)
8, 4
(0.0, 1.0, -1.4)
(-0.1, 1.8, -0.1)
(-0.2, 1.8, 0.5)
(-0.8, 1.8, 1.1)
(-0.7, 1.8, 1.1)
(-0.7, 1.8, 2.3)
(-0.7, 1.8, 3.7)
(-0.7, 1.8, 4.8)
(-0.1, 1.8, 4.9)
(0.7, 1.8, 5.4)
(0.5, 1.8, 6.8)
(0.4, 1.8, 7.3)
(0.2, 1.8, 8.4)
8, 5
(-0.1, 1.8, -1.3)
(-0.1, 1.8, -1.2)
(-0.1, 1.8, -1.2)
(-0.1, 1.8, -1.2)
(-0.1, 1.8, -1.2)
(-0.1, 1.8, -1.2)
(-0.1, 1.8, -1.2)
(-0.1, 1.8, 0.0)
(-0.2, 1.8, 1.3)
(-0.7, 1.8, 1.5)
(-0.7, 1.8, 2.8)
(-0.7, 1.8, 4.1)
(-0.7, 1.8, 5.0)
(0.3, 1.8, 5.0)
(0.5, 1.8, 6.0)
(0.4, 1.8, 7.4)
(0.3, 1.8, 8.7)
8, 6
(-0.1, 1.8, -0.6)
(-0.1, 1.8, 0.7)
(-0.1, 1.8, 0.8)
(-0.1, 1.8, 0.8)
(-0.1, 1.8, 0.8)
(-0.1, 1.8, 0.8)
(-0.1, 1.8, 0.8)
(-0.1, 1.8, 0.8)
(-0.7, 1.8, 0.5)
(-0.7, 1.8, 0.9)
(-0.7, 1.8, 2.2)
(-0.7, 1.8, 3.4)
(-0.7, 1.8, 3.6)
(0.3, 1.8, 3.9)
(0.7, 1.8, 4.4)
(0.5, 1.8, 5.1)
(0.1, 1.8, 6.4)
(-0.4, 1.8, 7.7)
(-0.8, 1.8, 8.9)
9, 1
(-0.1, 1.2, -1.4)
(-0.6, 1.8, -0.1)
(-0.7, 1.8, 0.2)
(-0.7, 1.8, 0.2)
(-0.7, 1.8, 0.2)
(-0.7, 1.8, 0.3)
(-0.7, 1.8, 1.4)
(-0.7, 1.8, 2.5)
(-0.6, 1.8, 3.8)
(-0.4, 1.8, 5.1)
(0.7, 1.8, 5.2)
(0.7, 1.8, 5.5)
(0.7, 1.8, 6.9)
(0.5, 1.8, 7.6)
(-0.6, 1.8, 7.9)
(-0.6, 1.8, 9.2)
9, 2
(0.1, 1.8, -0.3)
(0.1, 1.8, 0.1)
(0.7, 1.8, 0.3)
(0.7, 1.8, 1.5)
(0.5, 1.8, 2.7)
(-0.7, 1.8, 2.8)
(-0.7, 1.8, 4.0)
(-0.6, 1.8, 5.4)
(0.4, 1.8, 5.9)
(0.7, 1.8, 6.6)
(0.7, 1.8, 7.9)
(0.7, 1.8, 9.3)
9, 3
(0.0, 1.8, -0.4)
(0.0, 1.8, -0.3)
(0.0, 1.8, -0.3)
(0.0, 1.8, -0.3)
(-0.7, 1.8, -0.2)
(-0.6, 1.8, 0.8)
(-0.5, 1.8, 2.1)
(-0.4, 1.8, 2.8)
(-0.3, 1.8, 3.1)
(0.7, 1.8, 3.3)
(0.7, 1.8, 3.9)
(0.7, 1.8, 5.2)
(0.7, 1.8, 6.6)
(0.7, 1.8, 7.9)
(0.7, 1.8, 9.3)
9, 4
(0.1, 1.8, -0.3)
(0.1, 1.8, 0.0)
(0.1, 1.8, 0.0)
(0.1, 1.8, 0.0)
(0.1, 1.8, 0.0)
(-0.2, 1.8, 0.1)
(-0.4, 1.8, 1.2)
(-0.1, 1.8, 2.5)
(0.7, 1.8, 3.0)
(0.3, 1.8, 3.0)
(0.0, 1.8, 3.1)
(0.7, 1.8, 3.2)
(0.7, 1.8, 4.6)
(0.0, 1.8, 5.1)
(-0.4, 1.8, 5.9)
(-0.1, 1.8, 7.3)
(0.4, 1.8, 7.6)
(0.7, 1.8, 8.3)
9, 5
(0.0, 1.4, -1.3)
(0.3, 1.8, 0.0)
(0.4, 1.8, 0.2)
(0.4, 1.8, 0.2)
(0.4, 1.8, 0.2)
(0.4, 1.8, 0.2)
(0.4, 1.8, 0.2)
(0.4, 1.8, 0.2)
(0.4, 1.8, 0.2)
(0.4, 1.8, 0.2)
(0.4, 1.8, 0.2)
(0.4, 1.8, 0.2)
(0.4, 1.8, 0.2)
(0.4, 1.8, 0.2)
